src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
63,25,1129,1129,35,14859,2512,2763,-251,9.99,OBM
16,19,468,468,21,5758,1073,1180,-107,9.97,OBM
13,1,148,148,11,1761,21,23,-2,9.52,OBM
13,22,564,564,11,7053,53,58,-5,9.43,OBM
125,3,503,503,25,6313,129,141,-12,9.3,OBM
30,27,358,358,20,4055,66,72,-6,9.09,OBM
138,1,131,131,7,1562,33,36,-3,9.09,OBM
23,16,1506,1506,94,19714,1488,1623,-135,9.07,OBM
127,22,1348,1348,12,17482,56,61,-5,8.93,OBM
37,24,681,681,19,8559,90,98,-8,8.89,OBM
133,17,868,868,19,11338,104,113,-9,8.65,OBM
8,26,210,210,10,2434,47,51,-4,8.51,OBM
77,15,1402,1402,6,18224,59,64,-5,8.47,OBM
124,8,332,332,19,3696,95,103,-8,8.42,OBM
141,26,554,554,10,6944,48,52,-4,8.33,OBM
19,27,726,726,6,9246,25,27,-2,8.0,OBM
17,32,1147,1147,52,14964,1153,1245,-92,7.98,OBM
81,24,408,408,6,4827,38,41,-3,7.89,OBM
55,1,1165,1165,6,15203,51,55,-4,7.84,OBM
115,17,437,437,6,5297,40,43,-3,7.5,OBM
53,3,639,639,15,8061,94,101,-7,7.45,OBM
131,20,1252,1252,16,16234,83,89,-6,7.23,OBM
3,14,581,581,6,7403,28,30,-2,7.14,OBM
133,30,376,376,6,4278,42,45,-3,7.14,OBM
80,10,142,142,18,1673,57,61,-4,7.02,OBM
71,23,1362,1362,6,17662,43,46,-3,6.98,OBM
107,18,218,218,48,2525,124,132,-8,6.45,OBM
87,9,97,97,6,1208,33,35,-2,6.06,OBM
7,26,443,443,6,5407,33,35,-2,6.06,OBM
33,32,550,550,17,6904,203,215,-12,5.91,OBM
50,24,465,465,9,5736,51,54,-3,5.88,OBM
110,8,671,671,12,8446,68,72,-4,5.88,OBM
81,13,118,118,6,1452,35,37,-2,5.71,OBM
24,4,367,367,15,4117,88,93,-5,5.68,OBM
116,12,827,827,6,10791,53,56,-3,5.66,OBM
26,5,484,484,13,6019,55,58,-3,5.45,OBM
141,18,251,251,17,2910,93,98,-5,5.38,OBM
141,8,153,153,32,1803,153,161,-8,5.23,OBM
8,17,1320,1320,29,17122,2194,2304,-110,5.01,OBM
141,6,354,354,14,4006,60,63,-3,5.0,OBM
85,7,263,263,50,2983,241,253,-12,4.98,OBM
143,8,654,654,6,8221,43,45,-2,4.65,OBM
24,8,660,660,6,8304,44,46,-2,4.55,OBM
