src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
41,29,1244,1244,47,16181,253,323,-70,27.67,OBM
73,24,1024,1024,6,13357,74,70,4,5.71,ABM
5,27,795,795,6,10355,38,64,-26,68.42,OBM
13,22,564,564,11,7053,53,58,-5,9.43,OBM
89,23,193,193,48,2161,150,78,72,92.31,ABM
115,19,1069,1069,24,13867,143,306,-163,113.99,OBM
93,24,244,244,6,2794,35,34,1,2.94,ABM
97,31,1184,1184,47,15555,1301,417,884,211.99,ABM
132,29,157,157,78,1846,1262,316,946,299.37,ABM
51,22,1076,1076,43,14004,1221,223,998,447.53,ABM
26,5,484,484,13,6019,55,58,-3,5.45,OBM
110,20,1063,1063,58,13805,177,1298,-1121,633.33,OBM
141,29,1127,1127,35,14843,177,1329,-1152,650.85,OBM
37,21,276,276,10,3059,39,39,0,0.0,tie
19,17,1115,1115,47,14552,97,316,-219,225.77,OBM
119,32,886,886,14,11532,1174,117,1057,903.42,ABM
23,10,591,591,6,7512,34,54,-20,58.82,OBM
50,12,1337,1337,15,17414,78,94,-16,20.51,OBM
61,23,1000,1000,49,13071,281,259,22,8.49,ABM
125,23,672,672,15,8455,53,130,-77,145.28,OBM
90,2,1034,1034,39,13502,187,301,-114,60.96,OBM
85,31,1314,1314,35,17021,78,220,-142,182.05,OBM
66,24,1424,1424,46,18662,138,1250,-1112,805.8,OBM
56,30,441,441,12,5392,91,105,-14,15.38,OBM
132,28,956,956,17,12559,66,89,-23,34.85,OBM
124,23,1095,1095,90,14332,284,388,-104,36.62,OBM
23,23,1164,1164,15,15196,48,82,-34,70.83,OBM
93,29,1148,1148,24,14964,1123,1375,-252,22.44,OBM
50,26,3,3,15,83,37,37,0,0.0,tie
97,15,966,966,51,12676,1462,401,1061,264.59,ABM
81,11,83,83,40,1025,1252,152,1100,723.68,ABM
66,16,525,525,17,6649,78,76,2,2.63,ABM
86,21,1177,1177,35,15313,210,210,0,0.0,tie
20,31,99,99,6,1282,17,27,-10,58.82,OBM
125,8,859,859,31,11190,1175,236,939,397.88,ABM
83,30,1407,1407,25,18324,64,1213,-1149,1795.31,OBM
10,27,1108,1108,6,14463,64,77,-13,20.31,OBM
2,17,248,248,35,2876,201,164,37,22.56,ABM
117,8,88,88,13,1121,47,48,-1,2.13,OBM
